"","Replicate.Name","Precursor.Ion.Name","Retention.Time","Area","Background","Height","Mass.Error.PPM","SNFlag","ppmFlag","areaminFlag","RT_ref","RTFlag","Blank.Area","BlankFlag","Flags","QC_area"
"17","161107_Smp_Cy_B","I152.0567R8.12_HILICPos",8.7,17949852,0,"1655028",-0.5,NA,NA,NA,8.54,NA,2581240,NA,"",17949852
"18","161107_Smp_Cy_C","I152.0567R8.12_HILICPos",8.7,21836454,98888,"1862381",-0.3,NA,NA,NA,8.54,NA,2581240,NA,"",21836454
"19","161107_Smp_2090_A","I152.0567R8.12_HILICPos",8.7,4592818,0,"373453",-0.2,NA,NA,NA,8.54,NA,1298821,NA,"",4592818
"20","161107_Smp_2090_B","I152.0567R8.12_HILICPos",8.71,3876116,0,"285738",-0.6,NA,NA,NA,8.54,NA,1298821,NA,"",3876116
"21","161107_Smp_2090_C","I152.0567R8.12_HILICPos",8.69,3178706,0,"274376",-0.8,NA,NA,NA,8.54,NA,1298821,NA,"",3178706
"22","161107_Smp_371_A","I152.0567R8.12_HILICPos",8.72,10114093,0,"837507",-1.3,NA,NA,NA,8.54,NA,833723,NA,"",10114093
"23","161107_Smp_371_B","I152.0567R8.12_HILICPos",8.67,10565806,0,"881143",-1.2,NA,NA,NA,8.54,NA,833723,NA,"",10565806
"24","161107_Smp_371_C","I152.0567R8.12_HILICPos",8.71,11583986,111170,"994762",-1.4,NA,NA,NA,8.54,NA,833723,NA,"",11583986
"25","161107_Smp_To_A","I152.0567R8.12_HILICPos",8.72,24525476,947174,"2183003",-1.4,NA,NA,NA,8.54,NA,1164058,NA,"",24525476
"26","161107_Smp_To_B","I152.0567R8.12_HILICPos",8.69,19846008,135858,"1723687",-1,NA,NA,NA,8.54,NA,1164058,NA,"",19846008
"27","161107_Smp_To_C","I152.0567R8.12_HILICPos",8.72,8566369,41872,"758028",-0.8,NA,NA,NA,8.54,NA,1164058,NA,"",8566369
"28","161107_Smp_Tp_A","I152.0567R8.12_HILICPos",8.71,43253492,0,"3717575",-1.4,NA,NA,NA,8.54,NA,596826,NA,"",43253492
"29","161107_Smp_Tp_E","I152.0567R8.12_HILICPos",8.72,9806573,0,"854685",-1.1,NA,NA,NA,8.54,NA,596826,NA,"",9806573
"30","161107_Smp_Tp_F","I152.0567R8.12_HILICPos",8.7,26852486,0,"2315080",-1.1,NA,NA,NA,8.54,NA,596826,NA,"",26852486
"31","161107_Smp_Cy_A","I285.1445R6.57_HILICPos",18.98,93658,0,"18260",-3.8,NA,NA,NA,7.185,"RTFlag",37315,NA,"RTFlag, ",NA
"32","161107_Smp_Cy_B","I285.1445R6.57_HILICPos",2,128862,0,"34489",11.8,NA,"ppmFlag",NA,7.185,"RTFlag",37315,NA,"ppmFlag, RTFlag, ",NA
"33","161107_Smp_Cy_C","I285.1445R6.57_HILICPos",2,178669,0,"42727",7.6,NA,"ppmFlag",NA,7.185,"RTFlag",37315,NA,"ppmFlag, RTFlag, ",NA
"34","161107_Smp_2090_A","I285.1445R6.57_HILICPos",3.34,22707,0,"11826",0.4,NA,NA,NA,7.185,"RTFlag",9255,NA,"RTFlag, ",NA
"35","161107_Smp_2090_B","I285.1445R6.57_HILICPos",0.34,46076,0,"32530",8.9,NA,"ppmFlag",NA,7.185,"RTFlag",9255,NA,"ppmFlag, RTFlag, ",NA
"36","161107_Smp_2090_C","I285.1445R6.57_HILICPos",6.5,26858,0,"10454",0.9,NA,NA,NA,7.185,"RTFlag",9255,NA,"RTFlag, ",NA
"37","161107_Smp_371_A","I285.1445R6.57_HILICPos",4.84,46093,0,"9729",2.1,NA,NA,NA,7.185,"RTFlag",44421,NA,"RTFlag, ",NA
"38","161107_Smp_371_B","I285.1445R6.57_HILICPos",2.02,98045,0,"21773",8.7,NA,"ppmFlag",NA,7.185,"RTFlag",44421,NA,"ppmFlag, RTFlag, ",NA
"39","161107_Smp_371_C","I285.1445R6.57_HILICPos",1.99,48905,0,"13202",3.9,NA,NA,NA,7.185,"RTFlag",44421,NA,"RTFlag, ",NA
"40","161107_Smp_To_A","I285.1445R6.57_HILICPos",13.26,511888,0,"58104",-1.3,NA,NA,NA,7.185,"RTFlag",12977,NA,"RTFlag, ",NA
"41","161107_Smp_To_B","I285.1445R6.57_HILICPos",13.23,125093,0,"29569",-0.3,NA,NA,NA,7.185,"RTFlag",12977,NA,"RTFlag, ",NA
"42","161107_Smp_To_C","I285.1445R6.57_HILICPos",13.18,64859,0,"11423",0.1,NA,NA,NA,7.185,"RTFlag",12977,NA,"RTFlag, ",NA
"43","161107_Smp_Tp_A","I285.1445R6.57_HILICPos",2.01,106166,0,"62807",10.8,NA,"ppmFlag",NA,7.185,"RTFlag",25258,NA,"ppmFlag, RTFlag, ",NA
"44","161107_Smp_Tp_E","I285.1445R6.57_HILICPos",1.94,50769,0,"25474",9.6,NA,"ppmFlag",NA,7.185,"RTFlag",25258,NA,"ppmFlag, RTFlag, ",NA
"45","161107_Smp_Tp_F","I285.1445R6.57_HILICPos",0.83,33479,0,"8846",1.7,NA,NA,NA,7.185,"RTFlag",25258,NA,"RTFlag, ",NA
"46","161107_Smp_Cy_A","I130.05R12.12_HILICPos",12,290121376,14984815,"23211066",-0.7,NA,NA,NA,12.4,"RTFlag",103119,NA,"RTFlag, ",NA
"47","161107_Smp_Cy_B","I130.05R12.12_HILICPos",12.03,255927424,9885098,"20962574",-0.9,NA,NA,NA,12.4,NA,103119,NA,"",255927424
"48","161107_Smp_Cy_C","I130.05R12.12_HILICPos",12,320891200,13427285,"25020140",-1,NA,NA,NA,12.4,"RTFlag",103119,NA,"RTFlag, ",NA
"49","161107_Smp_2090_A","I130.05R12.12_HILICPos",11.99,13859329,945921,"1195997",-0.3,NA,NA,NA,12.4,"RTFlag",110258,NA,"RTFlag, ",NA
"50","161107_Smp_2090_B","I130.05R12.12_HILICPos",11.86,37665532,2093710,"1984662",-0.5,NA,NA,NA,12.4,"RTFlag",110258,NA,"RTFlag, ",NA
"51","161107_Smp_2090_C","I130.05R12.12_HILICPos",12.03,23643858,1143850,"1928044",-1,NA,NA,NA,12.4,NA,110258,NA,"",23643858
"52","161107_Smp_371_A","I130.05R12.12_HILICPos",11.85,26848796,606534,"2206132",-1.5,NA,NA,NA,12.4,"RTFlag",10757,NA,"RTFlag, ",NA
"53","161107_Smp_371_B","I130.05R12.12_HILICPos",11.83,28261920,677256,"2424475",-0.9,NA,NA,NA,12.4,"RTFlag",10757,NA,"RTFlag, ",NA
"54","161107_Smp_371_C","I130.05R12.12_HILICPos",11.79,20326524,736022,"1770062",-1.1,NA,NA,NA,12.4,"RTFlag",10757,NA,"RTFlag, ",NA
"55","161107_Smp_To_A","I130.05R12.12_HILICPos",12.03,665672448,67084076,"47466968",-2.1,NA,NA,NA,12.4,NA,242991,NA,"",665672448
"56","161107_Smp_To_B","I130.05R12.12_HILICPos",12.03,550317440,41988152,"38506388",-1.6,NA,NA,NA,12.4,NA,242991,NA,"",550317440
"57","161107_Smp_To_C","I130.05R12.12_HILICPos",12.05,564860352,62760360,"40663068",-1.5,NA,NA,NA,12.4,NA,242991,NA,"",564860352
"58","161107_Smp_Tp_A","I130.05R12.12_HILICPos",11.89,358316448,13437425,"29880752",-1.4,NA,NA,NA,12.4,"RTFlag",128712,NA,"RTFlag, ",NA
"59","161107_Smp_Tp_E","I130.05R12.12_HILICPos",11.86,171989888,10090603,"14751643",-1.4,NA,NA,NA,12.4,"RTFlag",128712,NA,"RTFlag, ",NA
"60","161107_Smp_Tp_F","I130.05R12.12_HILICPos",11.89,188296064,9129150,"17039762",-1.1,NA,NA,NA,12.4,"RTFlag",128712,NA,"RTFlag, ",NA
"61","161107_Smp_Cy_A","I195.0765R10.08_HILICPos",11.15,801082,0,"97607",7,NA,NA,NA,10.59,"RTFlag",6727,NA,"RTFlag, ",NA
"62","161107_Smp_Cy_B","I195.0765R10.08_HILICPos",11.13,803833,0,"106140",7.1,NA,"ppmFlag",NA,10.59,"RTFlag",6727,NA,"ppmFlag, RTFlag, ",NA
"63","161107_Smp_Cy_C","I195.0765R10.08_HILICPos",11.2,764684,0,"96669",7.7,NA,"ppmFlag",NA,10.59,"RTFlag",6727,NA,"ppmFlag, RTFlag, ",NA
"64","161107_Smp_2090_A","I195.0765R10.08_HILICPos",9.46,0,0,"0",NA,NA,NA,"areaminFlag",10.59,"RTFlag",25614,"BlankFlag","areaminFlag, RTFlag, BlankFlag",NA
"65","161107_Smp_2090_B","I195.0765R10.08_HILICPos",9.91,0,0,"0",NA,NA,NA,"areaminFlag",10.59,"RTFlag",25614,"BlankFlag","areaminFlag, RTFlag, BlankFlag",NA
"66","161107_Smp_2090_C","I195.0765R10.08_HILICPos",9.46,0,0,"0",NA,NA,NA,"areaminFlag",10.59,"RTFlag",25614,"BlankFlag","areaminFlag, RTFlag, BlankFlag",NA
"67","161107_Smp_371_A","I195.0765R10.08_HILICPos",9.99,6147,0,"6420",-0.1,NA,NA,NA,10.59,"RTFlag",0,NA,"RTFlag, ",NA
"68","161107_Smp_371_B","I195.0765R10.08_HILICPos",10.05,10966,0,"8366",-1,NA,NA,NA,10.59,"RTFlag",0,NA,"RTFlag, ",NA
"69","161107_Smp_371_C","I195.0765R10.08_HILICPos",9.75,0,0,"0",NA,NA,NA,"areaminFlag",10.59,"RTFlag",0,NA,"areaminFlag, RTFlag, ",NA
"70","161107_Smp_To_A","I195.0765R10.08_HILICPos",11.13,807096,0,"102644",5.8,NA,NA,NA,10.59,"RTFlag",4359,NA,"RTFlag, ",NA
"71","161107_Smp_To_B","I195.0765R10.08_HILICPos",11.12,1829945,0,"197059",6.1,NA,NA,NA,10.59,"RTFlag",4359,NA,"RTFlag, ",NA
"72","161107_Smp_To_C","I195.0765R10.08_HILICPos",11.13,1721213,0,"170772",7.9,NA,"ppmFlag",NA,10.59,"RTFlag",4359,NA,"ppmFlag, RTFlag, ",NA
"73","161107_Smp_Tp_A","I195.0765R10.08_HILICPos",11.08,1288874,0,"172945",6.7,NA,NA,NA,10.59,"RTFlag",41617,NA,"RTFlag, ",NA
"74","161107_Smp_Tp_E","I195.0765R10.08_HILICPos",11.04,770255,0,"123431",6.1,NA,NA,NA,10.59,"RTFlag",41617,NA,"RTFlag, ",NA
"75","161107_Smp_Tp_F","I195.0765R10.08_HILICPos",11.1,867788,0,"112597",6.8,NA,NA,NA,10.59,"RTFlag",41617,NA,"RTFlag, ",NA
"76","161107_Smp_Cy_A","I158.0813R7.81_HILICPos",9.96,1483063,0,"46527",-1.2,NA,NA,NA,8.77,"RTFlag",328960,NA,"RTFlag, ",NA
"77","161107_Smp_Cy_B","I158.0813R7.81_HILICPos",9.99,1528622,0,"53772",-1,NA,NA,NA,8.77,"RTFlag",328960,NA,"RTFlag, ",NA
"78","161107_Smp_Cy_C","I158.0813R7.81_HILICPos",9.94,1580465,0,"61251",-1.1,NA,NA,NA,8.77,"RTFlag",328960,NA,"RTFlag, ",NA
"79","161107_Smp_2090_A","I158.0813R7.81_HILICPos",NA,NA,NA,"#N/A",NA,NA,NA,NA,8.77,NA,142513,NA,"",NA
"80","161107_Smp_2090_B","I158.0813R7.81_HILICPos",8.62,144998,331941,"16606",-1.2,"SNFlag",NA,NA,8.77,NA,142513,NA,"SNFlag, ",NA
"81","161107_Smp_2090_C","I158.0813R7.81_HILICPos",9.34,195842,0,"12037",-1.1,NA,NA,NA,8.77,"RTFlag",142513,NA,"RTFlag, ",NA
"82","161107_Smp_371_A","I158.0813R7.81_HILICPos",9.88,7660925,0,"227068",-1.8,NA,NA,NA,8.77,"RTFlag",4576660,NA,"RTFlag, ",NA
"83","161107_Smp_371_B","I158.0813R7.81_HILICPos",9.82,13630988,0,"238653",-1.8,NA,NA,NA,8.77,"RTFlag",4576660,NA,"RTFlag, ",NA
"84","161107_Smp_371_C","I158.0813R7.81_HILICPos",9.87,7436933,0,"126247",-1.8,NA,NA,NA,8.77,"RTFlag",4576660,NA,"RTFlag, ",NA
"85","161107_Smp_To_A","I158.0813R7.81_HILICPos",10.64,407748,0,"20818",-1,NA,NA,NA,8.77,"RTFlag",971696,NA,"RTFlag, ",NA
"86","161107_Smp_To_B","I158.0813R7.81_HILICPos",9.48,138188,0,"17096",-0.4,NA,NA,NA,8.77,"RTFlag",971696,"BlankFlag","RTFlag, BlankFlag",NA
"87","161107_Smp_To_C","I158.0813R7.81_HILICPos",9.52,7777,218158,"3787",-1.9,"SNFlag",NA,NA,8.77,"RTFlag",971696,"BlankFlag","SNFlag, RTFlag, BlankFlag",NA
"88","161107_Smp_Tp_A","I158.0813R7.81_HILICPos",10,23578880,0,"352084",-2.1,NA,NA,NA,8.77,"RTFlag",4932399,NA,"RTFlag, ",NA
"89","161107_Smp_Tp_E","I158.0813R7.81_HILICPos",9.85,13542643,0,"291916",-1.8,NA,NA,NA,8.77,"RTFlag",4932399,NA,"RTFlag, ",NA
"90","161107_Smp_Tp_F","I158.0813R7.81_HILICPos",10,21595166,78910,"367111",-1.7,NA,NA,NA,8.77,"RTFlag",4932399,NA,"RTFlag, ",NA
"91","161107_Smp_Cy_A","I297.0846R5.35_HILICPos",6.03,373265984,2182820,"13134889",-1.2,NA,NA,NA,5.95,NA,36336,NA,"",373265984
"92","161107_Smp_Cy_B","I297.0846R5.35_HILICPos",6.08,366860288,2060999,"13628935",-1,NA,NA,NA,5.95,NA,36336,NA,"",366860288
"93","161107_Smp_Cy_C","I297.0846R5.35_HILICPos",6.03,271430304,928981,"10334355",-1.1,NA,NA,NA,5.95,NA,36336,NA,"",271430304
"94","161107_Smp_2090_A","I297.0846R5.35_HILICPos",0.05,5796431,14802,"1551614",-8.2,NA,NA,NA,5.95,"RTFlag",1087,NA,"RTFlag, ",NA
"95","161107_Smp_2090_B","I297.0846R5.35_HILICPos",0.02,179169,0,"57706",-8.7,NA,NA,NA,5.95,"RTFlag",1087,NA,"RTFlag, ",NA
"96","161107_Smp_2090_C","I297.0846R5.35_HILICPos",0.02,5633860,0,"1560280",-9.1,NA,NA,NA,5.95,"RTFlag",1087,NA,"RTFlag, ",NA
"97","161107_Smp_371_A","I297.0846R5.35_HILICPos",0.02,6425955,0,"1810800",-8.7,NA,NA,NA,5.95,"RTFlag",8885,NA,"RTFlag, ",NA
"98","161107_Smp_371_B","I297.0846R5.35_HILICPos",0.04,6784509,19787,"1791584",-9.1,NA,NA,NA,5.95,"RTFlag",8885,NA,"RTFlag, ",NA
"99","161107_Smp_371_C","I297.0846R5.35_HILICPos",0.02,6873776,0,"1846256",-9.3,NA,NA,NA,5.95,"RTFlag",8885,NA,"RTFlag, ",NA
"100","161107_Smp_To_A","I297.0846R5.35_HILICPos",6.24,669645,0,"55390",-1.6,NA,NA,NA,5.95,NA,8581,NA,"",669645
"101","161107_Smp_To_B","I297.0846R5.35_HILICPos",6.31,611125,0,"53148",-1,NA,NA,NA,5.95,NA,8581,NA,"",611125
"102","161107_Smp_To_C","I297.0846R5.35_HILICPos",6.31,699224,0,"64037",-0.9,NA,NA,NA,5.95,NA,8581,NA,"",699224
"103","161107_Smp_Tp_A","I297.0846R5.35_HILICPos",6.26,108077256,422087,"5731681",-1.7,NA,NA,NA,5.95,NA,13277,NA,"",108077256
"104","161107_Smp_Tp_E","I297.0846R5.35_HILICPos",6.27,36011524,155542,"2574531",-1.2,NA,NA,NA,5.95,NA,13277,NA,"",36011524
"105","161107_Smp_Tp_F","I297.0846R5.35_HILICPos",6.25,57132208,310641,"3555798",-1.2,NA,NA,NA,5.95,NA,13277,NA,"",57132208
"106","161107_Smp_Cy_A","I176.0918R7.43_HILICPos",7.83,1223311,43254,"427660",0.7,NA,NA,NA,8.02,NA,3196176,NA,"",1223311
"107","161107_Smp_Cy_B","I176.0918R7.43_HILICPos",7.96,3613042,123751,"369527",0.7,NA,NA,NA,8.02,NA,3196176,NA,"",3613042
"108","161107_Smp_Cy_C","I176.0918R7.43_HILICPos",7.89,2213329,0,"474684",0.6,NA,NA,NA,8.02,NA,3196176,NA,"",2213329
"109","161107_Smp_2090_A","I176.0918R7.43_HILICPos",7.8,9817214,1337001,"151572",6.8,NA,NA,NA,8.02,NA,3275056,NA,"",9817214
"110","161107_Smp_2090_B","I176.0918R7.43_HILICPos",6.85,3888870,3866196,"76454",6.7,"SNFlag",NA,NA,8.02,"RTFlag",3275056,NA,"SNFlag, RTFlag, ",NA
"111","161107_Smp_2090_C","I176.0918R7.43_HILICPos",6.67,2687586,8990285,"85279",6.2,"SNFlag",NA,NA,8.02,"RTFlag",3275056,NA,"SNFlag, RTFlag, ",NA
"112","161107_Smp_371_A","I176.0918R7.43_HILICPos",7.86,1701198,8520062,"41459",6,"SNFlag",NA,NA,8.02,NA,1803238,NA,"SNFlag, ",NA
"113","161107_Smp_371_B","I176.0918R7.43_HILICPos",6.75,3083723,4639299,"59799",6.1,"SNFlag",NA,NA,8.02,"RTFlag",1803238,NA,"SNFlag, RTFlag, ",NA
"114","161107_Smp_371_C","I176.0918R7.43_HILICPos",7.81,2490947,12737836,"66331",6,"SNFlag",NA,NA,8.02,NA,1803238,NA,"SNFlag, ",NA
"115","161107_Smp_To_A","I176.0918R7.43_HILICPos",7.62,10919394,0,"168880",5.6,NA,NA,NA,8.02,NA,1550822,NA,"",10919394
"116","161107_Smp_To_B","I176.0918R7.43_HILICPos",7.38,11275556,0,"152164",6.2,NA,NA,NA,8.02,"RTFlag",1550822,NA,"RTFlag, ",NA
"117","161107_Smp_To_C","I176.0918R7.43_HILICPos",7.31,4311318,5092530,"106511",6.3,"SNFlag",NA,NA,8.02,"RTFlag",1550822,NA,"SNFlag, RTFlag, ",NA
"118","161107_Smp_Tp_A","I176.0918R7.43_HILICPos",7.36,8486736,0,"149269",5.8,NA,NA,NA,8.02,"RTFlag",4772439,NA,"RTFlag, ",NA
"119","161107_Smp_Tp_E","I176.0918R7.43_HILICPos",7.55,9634699,427016,"168970",6.2,NA,NA,NA,8.02,"RTFlag",4772439,NA,"RTFlag, ",NA
"120","161107_Smp_Tp_F","I176.0918R7.43_HILICPos",7.13,5193521,952296,"135942",6.2,NA,NA,NA,8.02,"RTFlag",4772439,NA,"RTFlag, ",NA
"121","161107_Smp_Cy_A","I221.0843R5.58_HILICPos",0.04,2648651,0,"640448",-1,NA,NA,NA,6.395,"RTFlag",0,NA,"RTFlag, ",NA
"122","161107_Smp_Cy_B","I221.0843R5.58_HILICPos",0.05,2526666,0,"623571",-1,NA,NA,NA,6.395,"RTFlag",0,NA,"RTFlag, ",NA
"123","161107_Smp_Cy_C","I221.0843R5.58_HILICPos",0.07,2137041,0,"671234",0,NA,NA,NA,6.395,"RTFlag",0,NA,"RTFlag, ",NA
"124","161107_Smp_2090_A","I221.0843R5.58_HILICPos",8.59,86016,0,"13107",0,NA,NA,NA,6.395,"RTFlag",0,NA,"RTFlag, ",NA
"125","161107_Smp_2090_B","I221.0843R5.58_HILICPos",7.47,33653,0,"8439",0.2,NA,NA,NA,6.395,"RTFlag",0,NA,"RTFlag, ",NA
"126","161107_Smp_2090_C","I221.0843R5.58_HILICPos",8.51,356451,0,"32601",-0.6,NA,NA,NA,6.395,"RTFlag",0,NA,"RTFlag, ",NA
"127","161107_Smp_371_A","I221.0843R5.58_HILICPos",0.02,2667506,0,"655412",-1.4,NA,NA,NA,6.395,"RTFlag",0,NA,"RTFlag, ",NA
"128","161107_Smp_371_B","I221.0843R5.58_HILICPos",0.05,2372629,0,"695063",-1,NA,NA,NA,6.395,"RTFlag",0,NA,"RTFlag, ",NA
"129","161107_Smp_371_C","I221.0843R5.58_HILICPos",0.05,1614697,0,"690836",-1.4,NA,NA,NA,6.395,"RTFlag",0,NA,"RTFlag, ",NA
"130","161107_Smp_To_A","I221.0843R5.58_HILICPos",0.05,2803579,0,"790403",-1.7,NA,NA,NA,6.395,"RTFlag",0,NA,"RTFlag, ",NA
"131","161107_Smp_To_B","I221.0843R5.58_HILICPos",7.14,7225,0,"6953",8.5,NA,"ppmFlag",NA,6.395,"RTFlag",0,NA,"ppmFlag, RTFlag, ",NA
"132","161107_Smp_To_C","I221.0843R5.58_HILICPos",0.04,2661656,0,"655609",-0.8,NA,NA,NA,6.395,"RTFlag",0,NA,"RTFlag, ",NA
"133","161107_Smp_Tp_A","I221.0843R5.58_HILICPos",0.04,2839985,0,"707508",-2,NA,NA,NA,6.395,"RTFlag",0,NA,"RTFlag, ",NA
"134","161107_Smp_Tp_E","I221.0843R5.58_HILICPos",0.02,2860141,0,"711663",-1.6,NA,NA,NA,6.395,"RTFlag",0,NA,"RTFlag, ",NA
"135","161107_Smp_Tp_F","I221.0843R5.58_HILICPos",22.94,6251,0,"6333",0.9,NA,NA,NA,6.395,"RTFlag",0,NA,"RTFlag, ",NA
"136","161107_Smp_Cy_A","I120.0811R5.29_HILICPos",6.55,66815344,0,"1991360",-1.1,NA,NA,NA,6.12,"RTFlag",1521227,NA,"RTFlag, ",NA
"137","161107_Smp_Cy_B","I120.0811R5.29_HILICPos",6.56,44208440,5632473,"1410390",-0.9,NA,NA,NA,6.12,"RTFlag",1521227,NA,"RTFlag, ",NA
"138","161107_Smp_Cy_C","I120.0811R5.29_HILICPos",6.58,58047316,4992629,"1687224",-0.9,NA,NA,NA,6.12,"RTFlag",1521227,NA,"RTFlag, ",NA
"139","161107_Smp_2090_A","I120.0811R5.29_HILICPos",6.34,6513280,2117997,"176051",-1.2,"SNFlag",NA,NA,6.12,NA,263750,NA,"SNFlag, ",NA
"140","161107_Smp_2090_B","I120.0811R5.29_HILICPos",6.81,5273710,2018642,"166177",-2.5,"SNFlag",NA,NA,6.12,"RTFlag",263750,NA,"SNFlag, RTFlag, ",NA
"141","161107_Smp_2090_C","I120.0811R5.29_HILICPos",6.44,7054779,2089888,"173926",-1.9,"SNFlag",NA,NA,6.12,NA,263750,NA,"SNFlag, ",NA
"142","161107_Smp_371_A","I120.0811R5.29_HILICPos",5.97,5104833,1108781,"112673",-2.2,NA,NA,NA,6.12,NA,368779,NA,"",5104833
"143","161107_Smp_371_B","I120.0811R5.29_HILICPos",6.1,4853202,1910455,"111830",-2,"SNFlag",NA,NA,6.12,NA,368779,NA,"SNFlag, ",NA
"144","161107_Smp_371_C","I120.0811R5.29_HILICPos",6.06,4532782,1888046,"112179",-2,"SNFlag",NA,NA,6.12,NA,368779,NA,"SNFlag, ",NA
"145","161107_Smp_To_A","I120.0811R5.29_HILICPos",6.44,113250608,4015521,"3636129",-2.4,NA,NA,NA,6.12,NA,471462,NA,"",113250608
"146","161107_Smp_To_B","I120.0811R5.29_HILICPos",6.36,102410168,4512164,"3149762",-1.8,NA,NA,NA,6.12,NA,471462,NA,"",102410168
"147","161107_Smp_To_C","I120.0811R5.29_HILICPos",6.5,127367768,4413122,"3767784",-1.9,NA,NA,NA,6.12,NA,471462,NA,"",127367768
"148","161107_Smp_Tp_A","I120.0811R5.29_HILICPos",6.14,73441488,4705661,"2033629",-2.1,NA,NA,NA,6.12,NA,855023,NA,"",73441488
"149","161107_Smp_Tp_E","I120.0811R5.29_HILICPos",6.13,51991168,2186853,"1268925",-1.7,NA,NA,NA,6.12,NA,855023,NA,"",51991168
"150","161107_Smp_Tp_F","I120.0811R5.29_HILICPos",6.13,63225772,2197146,"1771411",-1.6,NA,NA,NA,6.12,NA,855023,NA,"",63225772
"151","161107_Smp_Cy_A","I160.0969R6.82_HILICPos",6.92,1288511,0,"38941",-1.4,NA,NA,NA,7.425,"RTFlag",1491287,NA,"RTFlag, ",NA
"152","161107_Smp_Cy_B","I160.0969R6.82_HILICPos",7.27,1357447,0,"44295",-1.2,NA,NA,NA,7.425,NA,1491287,NA,"",1357447
"153","161107_Smp_Cy_C","I160.0969R6.82_HILICPos",7.17,1495348,0,"49447",-1.2,NA,NA,NA,7.425,NA,1491287,NA,"",1495348
"154","161107_Smp_2090_A","I160.0969R6.82_HILICPos",7.54,839726,0,"32465",-1.1,NA,NA,NA,7.425,NA,1025380,NA,"",839726
"155","161107_Smp_2090_B","I160.0969R6.82_HILICPos",6.82,1430037,0,"31818",-1.2,NA,NA,NA,7.425,"RTFlag",1025380,NA,"RTFlag, ",NA
"156","161107_Smp_2090_C","I160.0969R6.82_HILICPos",6.75,1135880,0,"40321",-1.9,NA,NA,NA,7.425,"RTFlag",1025380,NA,"RTFlag, ",NA
"157","161107_Smp_371_A","I160.0969R6.82_HILICPos",8.24,762964,0,"28682",-1.6,NA,NA,NA,7.425,"RTFlag",1520038,NA,"RTFlag, ",NA
"158","161107_Smp_371_B","I160.0969R6.82_HILICPos",8.17,671694,859093,"21855",-1.7,"SNFlag",NA,NA,7.425,"RTFlag",1520038,NA,"SNFlag, RTFlag, ",NA
